PC_Num,Dataset,Feature,Slope,Intercept,R_Squared,P_Value,Std_Error
2,Standard,Tortuosity,-0.0039697931043145675,1.795767773230831,0.010956476065641317,0.3234314297155295,0.003998021491196137
2,Non-Standard,Length,-0.8224428104040937,74.89519148981852,0.08930422426399172,0.004009844647079976,0.27839495767535966
2,Non-Standard,Norm,-0.2531299789378909,41.89790472360767,0.034854404065362776,0.07640522851133782,0.14119397516402604
2,Non-Standard,Tortuosity,-0.006978842146281864,1.795767773230831,0.01090493960616653,0.32457836375169913,0.007045239412839094
2,Tangent,Length,-4.930999268324875,74.89519148981852,0.026309049506993285,0.1245145490967011,3.179786216881415
2,Tangent,Norm,-2.1431972123928698,41.89790472360767,0.020477147739774056,0.17599926643102812,1.5712297257129315
2,Tangent,Tortuosity,-0.0034467356706733613,1.795767773230831,2.179953191487116e-05,0.9649650513507888,0.07825005607732231
3,Standard,Length,-0.5711697317568695,74.89519148981852,0.10584539650819612,0.0016512103915659892,0.17597075712950436
3,Standard,Norm,-0.14852632399275792,41.89790472360767,0.02948888691689945,0.10360858820376714,0.09031907798554686
3,Standard,Tortuosity,-0.007985132083205025,1.795767773230831,0.03508340543813448,0.0754281424929449,0.0044389588338321325
3,Non-Standard,Length,-0.775363903423163,74.89519148981852,0.06293796056424898,0.01645789924184266,0.31713079405903494
3,Non-Standard,Norm,-0.26028436512497627,41.89790472360767,0.029221841548412196,0.10520907966685994,0.15902275959773798
3,Non-Standard,Tortuosity,-0.00899406879848556,1.795767773230831,0.014361832186365284,0.25784944511781005,0.007897961901552482
3,Tangent,Length,-5.642393885465839,74.89519148981852,0.009963695041788508,0.34650162778271365,5.961887049277047
3,Tangent,Norm,2.4397448578070837,41.89790472360767,0.007675246974158183,0.4089356824240431,2.9405606467848706
3,Tangent,Tortuosity,-0.23268192069035054,1.795767773230831,0.028735240431270914,0.10819441324378312,0.14339335787705337
4,Standard,Length,0.20871306324532343,74.89519148981852,0.010863047051232274,0.3255145942323203,0.21110912806476764
4,Standard,Norm,-0.1205651464098937,41.89790472360767,0.014935021845954147,0.2484941851819197,0.1037901842519021
4,Standard,Tortuosity,0.010134932223059397,1.795767773230831,0.04344002060472931,0.047415366709725695,0.005041234939064718
4,Non-Standard,Length,0.4329753381888064,74.89519148981852,0.015109885021156292,0.2457223781682288,0.37053690214416424
4,Non-Standard,Norm,-0.27142767042845484,41.89790472360767,0.024465437602456935,0.13871304495589443,0.1816786743161082
4,Non-Standard,Tortuosity,0.02206327429483338,1.795767773230831,0.06653814617664178,0.013564334000082636,0.008759673118739346
4,Tangent,Length,18.632679583570166,74.89519148981852,0.06693685305525848,0.01327723709454498,7.374000882645607
4,Tangent,Norm,7.22224047525762,41.89790472360767,0.041435106476819916,0.052956893411379824,3.6821669158691837
4,Tangent,Tortuosity,0.12609948596423898,1.795767773230831,0.005199208340953179,0.4969989701847507,0.1848918481636046
5,Standard,Length,0.3938221517312906,74.89519148981852,0.029562197642256073,0.10317381484152165,0.239177670724972
5,Standard,Norm,0.42408346498827565,41.89790472360767,0.1412371756529135,0.00024158130793569717,0.11084559578045539
5,Standard,Tortuosity,-0.01032702092678101,1.795767773230831,0.034473269764089515,0.07806120135285968,0.005793232596002514
