k,PC,feature,pearson_r,pearson_p,spearman_r,spearman_p
6,PC1,siphon_length,-0.028652985385117888,0.7874611492020456,-0.0519350215002389,0.624905454146206
6,PC1,siphon_position,0.3622602311746552,0.00041772842219334384,0.3725433986303551,0.00027632946379372843
6,PC1,curvature_C0,0.4152650819193823,4.257437809559518e-05,0.39732441471571905,9.633172099515218e-05
6,PC1,curvature_C1,-0.21860926922665264,0.03735864140362399,-0.2106704889313585,0.04502262049372194
6,PC1,curvature_C2,-0.8758600995613619,6.586126939933808e-30,-0.9006211180124225,5.7652516641657404e-34
6,PC1,curvature_C3,-0.33327462934061486,0.0012461427324887684,-0.34263417741678615,0.0008855311809939991
6,PC1,curvature_C4,-0.052430874166277314,0.6215998273942913,-0.07791049530179965,0.4629112965297403
6,PC2,siphon_length,-0.3566438707608117,0.0005204964357048208,-0.296735148909062,0.004287850335152054
6,PC2,siphon_position,-0.6105313159374539,1.3145473639285794e-10,-0.6141423793597707,9.541440749535568e-11
6,PC2,curvature_C0,0.5902405918266828,7.397962123381888e-10,0.6580347189042841,1.367251596350396e-12
6,PC2,curvature_C1,-0.01901352558460709,0.8580269911351043,-0.011307533046663482,0.9152814677442955
6,PC2,curvature_C2,-0.04123702661041517,0.6979395623664604,0.06693741041567129,0.5284180519316953
6,PC2,curvature_C3,0.19841928744403275,0.0593723514566666,0.23471890428412168,0.02512287509931334
6,PC2,curvature_C4,-0.14248980357121688,0.17786369548087397,-0.12494027711419017,0.23799682530314809
6,PC3,siphon_length,-0.3488196962314852,0.0007024442824436934,-0.24075489727663643,0.02151452807792875
6,PC3,siphon_position,-0.35234140185406215,0.0006143591486194505,-0.3553909858257685,0.0005463738988706018
6,PC3,curvature_C0,-0.28185943137588926,0.006795365848302228,-0.1573658225832139,0.1362975922395753
6,PC3,curvature_C1,0.1677487387807286,0.111973636430032,0.1581462016244625,0.13434049292572667
6,PC3,curvature_C2,-0.18871966977537707,0.07321000910093947,-0.1783882783882784,0.0906859879252741
6,PC3,curvature_C3,-0.00859408799997198,0.9355608146347411,-0.017900939640070074,0.8662552866278036
6,PC3,curvature_C4,0.5227409066501469,1.0647925435412448e-07,0.42888995062908103,2.218484333580991e-05
6,PC4,siphon_length,-0.6180116075987264,6.737985249357776e-11,-0.5694059563624781,3.8672853980746585e-09
6,PC4,siphon_position,-0.029173946250789465,0.7836904670587228,-0.008536391145086798,0.935992513870673
6,PC4,curvature_C0,-0.00963259745125819,0.9277937871409924,0.30471412645325696,0.003316347242490536
6,PC4,curvature_C1,0.5410514984634356,3.0780909696192966e-08,0.6906991559165472,3.5691223228561e-14
6,PC4,curvature_C2,0.12964991697779232,0.2206273765219433,0.1923554706163402,0.06774684606000468
6,PC4,curvature_C3,-0.03302281991444983,0.7559924864378481,0.013011626055104315,0.9025724940809027
6,PC4,curvature_C4,0.3768199409481944,0.00023175020239717055,0.466268514094601,3.191429938208343e-06
6,PC5,siphon_length,-0.22196553446711528,0.03446403758344632,-0.1146201624462494,0.27931397113406076
6,PC5,siphon_position,0.19503435728086638,0.06393635485308265,0.22272654881350534,0.033834581354741794
6,PC5,curvature_C0,-0.18921097299500778,0.07245171051729582,-0.07450230928491798,0.4827675260669786
6,PC5,curvature_C1,-0.30560323158711955,0.003221339644419677,-0.2998566650740564,0.0038810713205311965
6,PC5,curvature_C2,-0.22384972868584024,0.03292324173988615,-0.2533205924510273,0.015402366882404789
6,PC5,curvature_C3,-0.2632832943129255,0.011685612630071276,-0.27039337474120084,0.009536182893561115
6,PC5,curvature_C4,-0.5948770094885311,5.037921572171001e-10,-0.632457397674789,1.760991011407362e-11
6,PC6,siphon_length,0.4163410145146243,4.047935019704012e-05,0.3793119923554706,0.0002089338716011716
6,PC6,siphon_position,-0.5159630576617058,1.6551746631624754e-07,-0.5021978021978022,3.938810677248721e-07
6,PC6,curvature_C0,-0.12651773956022921,0.2320764065039897,-0.14852683548335724,0.15999871542046987
6,PC6,curvature_C1,0.4047524585674657,6.908574907479379e-05,0.3718745023092849,0.0002839770223433473
6,PC6,curvature_C2,-0.1743741457961181,0.09830651959984486,-0.132712215320911,0.20982445873904196
6,PC6,curvature_C3,0.8644574312352643,2.538844888795485e-28,0.8411689759515848,1.7277489160170803e-25
6,PC6,curvature_C4,0.1305398959746829,0.2174481539961447,0.24194935499283327,0.020855689644294236
7,PC1,siphon_length,-0.04298711295765396,0.6857794507824022,-0.06657111004937091,0.5306820699105486
7,PC1,siphon_position,0.35351185169978816,0.0005874001696139068,0.3669851887243192,0.00034607664327838543
7,PC1,curvature_C0,0.26664675465575305,0.010621178049487184,0.2699315177576047,0.009664458145278049
7,PC1,curvature_C1,-0.20033271204745967,0.056912301961970516,-0.18706800445930885,0.07580616369133707
7,PC1,curvature_C2,-0.8252857086705722,8.318629203268632e-24,-0.8475075648988694,3.2633620770529415e-26
7,PC1,curvature_C3,-0.27917575444294285,0.007365361602982237,-0.268434464086638,0.01009069862747327
7,PC1,curvature_C4,-0.014395457756332539,0.8922698783991002,-0.06993151775760471,0.5100953028093691
7,PC2,siphon_length,-0.35884184629621263,0.0004777952926231635,-0.31627647714604235,0.0022567275733973665
7,PC2,siphon_position,-0.5899532280430395,7.574734434191714e-10,-0.6095238095238096,1.4364499401234322e-10
7,PC2,curvature_C0,0.421945012486027,3.103682770369657e-05,0.38377130116260555,0.00017320537890464904
7,PC2,curvature_C1,-0.025375641191767245,0.811291452884755,-0.002930402930402931,0.9780067997590385
7,PC2,curvature_C2,-0.0677678910670516,0.5233030168430596,0.022630992196209586,0.8313825134102452
7,PC2,curvature_C3,0.13910758556895048,0.18848924803656233,0.17053670966714446,0.10605312076479002
7,PC2,curvature_C4,-0.2341919575818,0.025461002285412954,-0.20269151138716357,0.05399502932571433
7,PC3,siphon_length,-0.33050507528866335,0.0013759253893377739,-0.2417582417582418,0.020959927517596663
7,PC3,siphon_position,-0.33964231528049876,0.000988847896514148,-0.3350692785475395,0.001168085293831252
7,PC3,curvature_C0,-0.16497191546232878,0.11812207117303494,-0.016658703615225354,0.8754592551190916
7,PC3,curvature_C1,0.14996986016112113,0.15593317725078293,0.14437012263099222,0.17214953251464896
7,PC3,curvature_C2,-0.15077116361860396,0.15370914285526766,-0.15359133620003185,0.14607008056519155
7,PC3,curvature_C3,-0.012796973211769036,0.9041720727062205,-0.040293040293040296,0.7045306844946047
7,PC3,curvature_C4,0.5192445401134667,1.3384794750917304e-07,0.4095715878324574,5.5447292829943676e-05
7,PC4,siphon_length,-0.5908717474175768,7.023481075070984e-10,-0.5071508201942985,2.8959212110034604e-07
7,PC4,siphon_position,-0.027697109344760263,0.7943924140244432,0.006927854753941711,0.948034898814831
7,PC4,curvature_C0,0.02090276130476086,0.8440899926392129,0.1626851409460105,0.12337823487522073
7,PC4,curvature_C1,0.48868674751089125,8.896668782981979e-07,0.5956999522216914,4.702802806112529e-10
7,PC4,curvature_C2,0.11787322670006001,0.2658032232572164,0.20697563306258962,0.0490106539459398
7,PC4,curvature_C3,-0.043267612902703805,0.6838377740311702,-0.014237935977066412,0.893441758345801
7,PC4,curvature_C4,0.3091236090701242,0.002868643948571946,0.3879280140149705,0.00014507284698268074
7,PC5,siphon_length,-0.206881031632474,0.04911646920835182,-0.10834527791049531,0.30665148982176454
7,PC5,siphon_position,0.19630324364242996,0.06219319586607704,0.20992196209587513,0.04580804884658564
7,PC5,curvature_C0,-0.09747168386670481,0.35801292552978753,-0.017693900302595954,0.8677880780869455
7,PC5,curvature_C1,-0.29813049293404875,0.004101540869721267,-0.3009077878643096,0.0037520627133189747
7,PC5,curvature_C2,-0.21486281957447392,0.040827251020929045,-0.2557732122949515,0.01440338124638493
7,PC5,curvature_C3,-0.23215597692270867,0.026804038337754035,-0.24400382226469186,0.019762895729265616
7,PC5,curvature_C4,-0.50363080322228,3.605245702533964e-07,-0.5545787545787546,1.1721204238479832e-08
7,PC6,siphon_length,0.3991794264880994,8.8722073771562e-05,0.38725911769390037,0.00014929392681331958
7,PC6,siphon_position,-0.5065276518820613,3.010989425828838e-07,-0.4821786908743431,1.301196789191853e-06
7,PC6,curvature_C0,-0.09238442576599018,0.38376886947876704,-0.05935658544354197,0.5762358091440862
7,PC6,curvature_C1,0.3837742922738285,0.00017318343602027846,0.3552317247969422,0.0005497463910321567
7,PC6,curvature_C2,-0.17032388218899347,0.10649629553178311,-0.11356903965599617,0.2837759603080649
7,PC6,curvature_C3,0.7005660323798746,1.07786240763569e-14,0.6365185539098582,1.1923539042653434e-11
7,PC6,curvature_C4,0.05667270950524741,0.5936329584825253,0.19976110845676065,0.057638308957445504
7,PC7,siphon_length,-0.23427327140412474,0.025408574255983765,-0.19743589743589743,0.06067002410183436
7,PC7,siphon_position,-0.22583909807270242,0.03135976891315962,-0.19450549450549454,0.0646745053891369
7,PC7,curvature_C0,-0.7607301164801594,2.1638767888996718e-18,-0.7574295269947444,3.67756270671031e-18
7,PC7,curvature_C1,0.3305728607328802,0.0013726079508251765,0.29168657429526995,0.005026560773424591
7,PC7,curvature_C2,-0.32905844430020603,0.0014484792139482245,-0.2895524765089983,0.0053714285640928654
7,PC7,curvature_C3,0.5762168825830866,2.2809258144204913e-09,0.5758082497212932,2.355136325130749e-09
7,PC7,curvature_C4,0.40143926876919256,8.02063978747128e-05,0.31323459149546107,0.002500919708452309
8,PC1,siphon_length,-0.057435029046856226,0.5886675419735513,-0.055900621118012424,0.5986811249011428
8,PC1,siphon_position,0.3415594458540032,0.0009214548066108744,0.36593406593406597,0.00036096120222812685
8,PC1,curvature_C0,0.27159608108212074,0.009209123931185764,0.2740723045070871,0.008566590609717546
8,PC1,curvature_C1,-0.1272067272311618,0.22952306799610653,-0.17826086956521742,0.0909204660742706
