s,curvature,torsion
8.32089998620299,0.190072068630251,-0.0165005882891694
8.39172283654082,0.188748021029171,-0.0192052191244614
8.46257041473683,0.187337365004589,-0.0218757071129007
8.53344892393886,0.185840621494584,-0.0245151208027965
8.60436456351717,0.184258396762047,-0.027126680072432
8.67532352610372,0.182591381935125,-0.0297137803334687
8.74633199485696,0.180840352757759,-0.0322800184357876
8.81739614090755,0.179005981162313,-0.0347992179658334
8.88852211953887,0.177088291014448,-0.037244803007598
8.95971606267972,0.175087258842461,-0.0396201260511468
9.03098406989175,0.173003004793847,-0.0419288031198871
9.10233219930176,0.170835789418675,-0.0441747338654657
9.17376645857702,0.168586010109649,-0.0463621255449333
9.24529279598559,0.166254197272789,-0.0484955215283346
9.31691709158368,0.163841010315879,-0.0505798351284599
